JUDUL BUKU;PENULIS/PENGARANG;PENERBIT;TANGGAL/BULAN/TAHUN PEROLEHAN;BARANG;HARGA SATUAN;HARGA TOTAL 
Mengenali dan Mengobati Penyakit;Djelita Aulia Hapsari;Karya Mandiri Nusantara;3 JANUARI 2021;1; 34.500 ;34.500
Mau kaya ngak Harus kuliah  4;Suranto S. Siswaya;Suara Media Sejahtera;3 JANUARI 2021;1; 37.500 ;37.500
Mengenal Dunia;Yudha;Eka Cipta Sentosa;3 JANUARI 2021;1; 35.000 ;35.000
Budi Daya Tanaman Obat;Budi Setyo Wicaksono;Karya Mandiri Nusantara;3 JANUARI 2021;1; 33.500 ;33.500
Guru Menulis di Media Massa;Hendy Hermawan;Citra Praya;3 JANUARI 2021;1; 38.000 ;38.000
Seri Pahlawan Nasional: RA Kartini;B.A. Saleh;Citra Praya;3 JANUARI 2021;1; 38.000 ;38.000
Keajaiban Dunia Kuno 1;Diana Tri Hartati;Empat Pilar;3 JANUARI 2021;1; 30.000 ;30.000
Menuju Olimpiade Fisika;Cari;Mediatama;3 JANUARI 2021;1; 102.000 ;102.000
Rambut Tipis Potongan Oval Trap Solusinya;"Dra. Amik Kristanti; Drs. Khoirudin";Mediatama;3 JANUARI 2021;1; 37.500 ;37.500
Gaptek, No Way 1 (Mengenal Komputer Dasar dan Aplikasi Sederhana) Ver. 1;ES. Ningrum;Mediatama;3 JANUARI 2021;1; 36.000 ;36.000
Tanaman Obat Tradisional Jilid I;Sopandi;Sarana Panca Karya Nusa;3 JANUARI 2021;1; 35.000 ;35.000
Indonesiaku 2 Provinsi Jawa Barat;"Rifan Silvia Eka Putra; Nurul Magfirotunnisa; Putri Lutfi Ifafah";Karya Mandiri Nusantara;3 JANUARI 2021;1; 34.500 ;34.500
Indonesiaku 16 Provinsi Sumatera Barat;"Rifan Silvia Eka Putra; Nurul Magfirotunnisa; Putri Lutfi Ifafah";Karya Mandiri Nusantara;3 JANUARI 2021;1; 34.500 ;34.500
Menghindari Berbagai bencana alam;Hardjana Hp.;Karya Mandiri Nusantara;3 JANUARI 2021;1; 33.300 ;33.300
Kisah Nabi Muhammad SAW;Slamet Al Baroq;Mediatama;3 JANUARI 2021;1; 34.500 ;34.500
Zamrud Khatulistiwa Indonesia;Nursanti Riandini;Bee Media Indonesia;3 JANUARI 2021;1; 40.000 ;40.000
Panduan Praktis Berbusana;Tita;Nobel Edumedia;3 JANUARI 2021;1; 30.000 ;30.000
Sejarah Perkembangan Islam;N. Abbas Wahid;Tiga Serangkai;3 JANUARI 2021;1; 32.000 ;32.000
Menggapai Kesuksesan Masa Depan ;Suranto, ZHA, Khonsa Siswaya;Karya Mandiri Nusantara;3 JANUARI 2021;1; 33.500 ;33.500
Berjuta Keajaiban Dunia Tumbuhan;Suryati;Empat Pilar;3 JANUARI 2021;1; 30.000 ;30.000
Madu Asli atau Tidak?;M. Sadyi Masun;Karya Mandiri Nusantara;3 JANUARI 2021;1; 37.500 ;37.500
Dosa-Dosa Besar Meruntuhkan Amal dan Kebajikan;Prof. Desteghib;Trisula Adisakti;3 JANUARI 2021;1; 36.000 ;36.000
Waspada Banjir dan Tanah Longsor 2;Adcharina Pratiwi, Suparti;Karya Mandiri Nusantara;3 JANUARI 2021;1; 37.500 ;37.500
Manfaat Tanaman Keras Indonesia;Soebiyanto;Karya Mandiri Nusantara;3 JANUARI 2021;1; 35.000 ;35.000
Budi Daya Anggrek;Novriyanti;Karya Mandiri Nusantara;3 JANUARI 2021;1; 37.500 ;37.500
Keaajaiban Adab Pertengahan 2;Diana Tri Hartati;Empat Pilar;3 JANUARI 2021;1; 30.000 ;30.000
Fiqhul Haidh  (kajian Tentang Fiqih);Muhammad bin Abdil qohar;Megah Jaya;3 JANUARI 2021;1; 40.000 ;40.000
Ayo, Bangun untuk Salat Subuh;Dewi Atuti;Imperial Bhakti Utama;3 JANUARI 2021;1; 30.000 ;30.000
Kisah-Kisah dalam Al-Qur'an 1 (Ulul Azmi);Miftah F.;Megah Jaya;3 JANUARI 2021;1; 32.000 ;32.000
Bencana Alam Geologi;P. Heru Susila;Pustaka Tiga Kelana;3 JANUARI 2021;1; 39.400 ;39.400
Perkembangan Masyarakat pada Masa Kerajaan Hindu Buddha serta Peninggalannya;Sucipto;Tiga Serangkai;3 JANUARI 2021;1; 38.000 ;38.000
Kisah-Kisah Rosulullah;Abbas Ali Musawi;Trisula Adisakti;3 JANUARI 2021;1; 35.000 ;35.000
Pengetahuan tentang Mata Uang;Irwan Kusdinar;Sarana Panca Karya Nusa;3 JANUARI 2021;1; 31.100 ;31.100
"Ensiklopedia Sejarah dan budaya Jilid 7; Dibawah kolonialisme Barat";Nino Oktorino, dkk.;Lentera Abadi;3 JANUARI 2021;1; 109.000 ;109.000
